Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV,0
Virginia Thomas Agrees To Interview With Jan. 6 Panel,0
Jared Kushner Blasts 'Nasty Troll' Chrissy Teigen For Attacks On Ivanka,0
Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe,0.1
Ex-Twitter Staffer Convicted For Sharing Private Information On Dissidents With Saudis,0.2
Police File Terrorism Charges Against Pakistan's Ex-Premier Imran Khan,0.3
Puerto Rico Braces For Landslides And Severe Flooding As Tropical Storm Fiona Approaches,0.4
Woman Allegedly Posed As Nurse In Attempt To Steal Newborn Baby,0.5
"6 Missing College Students In Mexico Were Held In Warehouse, Killed By Army",0.6
Citing Imminent Danger Cloudflare Drops Hate Site Kiwi Farms,0.7
"Late Dictator's Son Wins Philippine Presidency, Unofficial Count Shows",0.8
Strict Coronavirus Shutdowns In China Continue As Infections Rise,0.9
Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters,1
"Ukraine: 9,000 Of Its Troops Killed Since Russia Began War",1.1
Gas Prices Dip Just Below $4 For The First Time In 5 Months,1.2
"Polio Detected In NYC's Sewage, Suggesting Virus Circulating",1.3
The Lithium War Next Door,1.4
Everybody Clap! Endangered Seal Species Hits Comeback Milestone,1.4
Google Engineer On Leave After He Claims AI Program Has Gone Sentient,1.5
"Pakistan Flooding Deaths Pass 1,000 In 'Climate Catastrophe'",1.6
Biden Says U.S. Forces Would Defend Taiwan If China Invaded,1.7
Ukraine Claws Back Some Territory; Nuclear Plant In Peril,1.8
UN: Record Number Of People Without Enough To Eat In 2021,1.8
"Pope Makes Easter Plea For Ukraine Peace, Cites Nuclear Risk",1.9
Kim Jong Un Rallies Behind North Korea's Weapons Buildup,2
